id,fen,mateIn,composer
4f3aa6a9,7k/5KRb/5p2/7P/8/8/B7/8 w - - 0 1,4,Борис Дмитриевич Пустовой
70266e85,4K3/8/8/8/8/8/p2R1R2/r3k3 w - - 0 1,4,Erich Anselm Brunner
661c3208,1n6/3p2Q1/rp2P3/2p2k2/p1pP4/6B1/2P4K/8 w - - 0 1,4,Ladislav Cimburek
5ca6e5f9,4B3/1p6/1P3B2/5P2/1p1Pp2p/1P2k2P/P7/R3K1NR w - - 0 1,4,Игорь Алексеевич Агапов
c6864118,3B4/3p4/1R1P1NK1/qb1pkPp1/4Pp1b/2P3r1/2p1B2P/4Q3 w - - 0 1,4,Claude Goumondy
7f76731c,8/8/8/5R2/8/4kP2/PPP5/4K3 w - - 0 1,4,Andrej Anton Uršič
350ee934,NN6/pp6/8/8/8/8/PP3K1k/5R2 w - - 0 1,4,Федір Михайлович Капустін
b2a81383,n7/8/8/5p2/8/8/7p/3B1Knk w - - 0 1,4,Владимир В. Никитин
eb0d5657,3N4/8/8/2k1B3/K7/3P4/1P6/3R4 w - - 0 1,4,Wilhelm Karl Heinrich Maßmann
17fca9fa,8/6p1/6P1/5P1k/2Kp3p/2N4P/8/2B5 w - - 0 1,4,Carl Georg Eggert
2a9d4acc,K7/p7/P3p3/3k4/8/R1Q5/8/8 w - - 0 1,4,Євгеній Михайлович Богданов
463ebe3d,8/2B5/1pbp4/5p2/3P1P2/1p1pNp2/1p1P1R2/brk2K2 w - - 0 1,4,Albert Volkmann
93c8077a,8/1p6/4p3/8/k7/8/1PK5/2B1R3 w - - 0 1,4,John Carey Gardner
c9763bed,b7/8/5p2/5N2/P1kB3Q/K1p5/2P5/5n2 w - - 0 1,4,Frank Healey
f287bdc6,4Q3/2p3p1/p5p1/PP3PP1/1p1kN2p/6pr/3BP1Pb/5Kn1 w - - 0 1,4,Ferdinand Schindler
e25d31a6,3R4/7p/P2B1P2/P2k2pP/3p3b/1P1P2p1/P3N1P1/2K5 w - - 0 1,4,Арвид Иванович Куббель
44de9e5b,2B5/pN1p4/k7/N3n3/1Rp5/6K1/P7/3b4 w - - 0 1,4,Thorsten Zirkwitz
054d8010,7K/1R5p/6p1/1Npk1b2/n7/1R2Q3/8/6n1 w - - 0 1,4,Miroslav Havel
68224a06,4b3/2p1B1p1/8/2Pp1pP1/1PpP1PpP/2p1K1p1/2P1B1P1/4k3 w - - 0 1,4,Thomas Rayner Dawson
efd53e71,k7/2R5/N1p5/8/2P5/B7/5K2/8 w - - 0 1,4,Анатолий И. Висков
7591c7a8,8/kpK5/8/1P6/3P3B/7B/8/8 w - - 0 1,4,Александр Дмитриевич Тюнин
f8c3d688,2k3K1/2P2R2/P2Pp2p/1p1p4/3p1pp1/1bp4n/3bN3/4q3 w - - 0 1,4,Владимир Петрович Сычов
78683505,B7/r2p4/3P1p2/n3kP1N/Np4Q1/6b1/5P2/1K6 w - - 0 1,4,Jan Drtina
23ead7f0,r1bq1k2/pp2n1b1/2p1pNQ1/3p2P1/3PN2P/1PP5/PK6/8 w - - 0 1,4,William Bone
43a592da,4r3/2R3Qq/2PB4/p3nb1P/2pk4/2N2PR1/K1PP2p1/8 w - - 0 1,4,Яков Георгиевич Владимиров
c0ac4ec4,8/1p1R4/1k6/1Pp5/R1P5/K7/1P6/8 w - - 0 1,4,Hyacinth R. Agnel
7d5b1ba0,3n4/4bpQ1/3pp1bN/8/5pRp/1p2kP2/n3P3/4K3 w - - 0 1,4,Kurt Dittrich
26912c8a,5K2/3Q4/8/4p3/4k3/8/8/2B5 w - - 0 1,4,Nikolaj Zujev
975d961f,n2B3K/5BR1/2p1R2p/1br2k2/1N6/3pP3/N2P4/8 w - - 0 1,4,Hans Ott
a50871fb,8/8/4p3/1K1k4/R4P1B/3P4/8/8 w - - 0 1,4,Patrick Thomas Duffy
9fde67ba,1Q6/8/2k5/8/6K1/8/8/3B4 w - - 0 1,4,Heinz Brixi
cb0bce89,8/2p1B3/8/4k3/2R2N1K/8/8/8 w - - 0 1,4,Геннадий Сергеевич Егоров
dd3cc44a,8/8/8/2N1k3/5N2/8/8/5Q1K w - - 0 1,4,E. S. Brewster
59fc5509,1R1nB3/p3r3/3k4/2R5/5Np1/2B2pK1/P4N2/8 w - - 0 1,4,Friedrich Capräz
397168af,8/3R4/1p1R2p1/1PP1QpPb/PPPNpPp1/1Bp1k1P1/2K2n2/6B1 w - - 0 1,4,Werner Speckmann
ffdb4bab,1Q5B/8/7P/2k5/8/5N2/P7/6K1 w - - 0 1,4,Adolph L. Decker
1b151e99,8/2pB4/n7/3p2PK/3kP2p/8/3B2P1/1Q6 w - - 0 1,4,Bohuslav Přikryl
bb6019df,2B4B/2Rp4/4p3/1NNrPk1K/2n4p/1bbpPP2/Q3Pn2/8 w - - 0 1,4,Сергей Петрович Абраменко
03e151f1,kr5R/rp6/1K2P3/2P5/B7/8/8/R7 w - - 0 1,4,William Timbrell Pierce
088bd03a,B7/6B1/2R5/3k3K/1b6/p4pp1/3p2b1/3N4 w - - 0 1,4,Vladimír Pachman
0485b00b,4B3/6b1/8/2kN4/2NpPP2/3P4/4K3/8 w - - 0 1,4,Friedrich Chlubna
4cb19a39,q3b3/5pR1/2pP1p2/1p2PN1k/6p1/b2K2p1/5PP1/8 w - - 0 1,4,Карл Артур Леонид Иванович Куббель
69541329,2k5/8/2K5/5P2/2N5/6B1/8/8 w - - 0 1,4,Karl August Mörtzsch
105b5ce0,1n6/2Q5/2p2p2/1pkBbR2/1p6/1P6/2K5/8 w - - 0 1,4,Дмитрий Васильевич Кларк
06e9d312,8/3K4/3P4/2k5/1R6/B7/8/2N5 w - - 0 1,4,Wolfgang Pauly
bf8ad112,2nN4/pN4p1/1P1b2P1/P2k3K/4R3/P7/1P4B1/8 w - - 0 1,4,Валентин Федорович Руденко
fb17a588,1k6/5P2/2P5/8/2K5/8/8/8 w - - 0 1,4,Werner Speckmann
